day,hour,n_trades,high_price,low_price,btc_volume,usd_volume,candle_open_time,candle_close_time
30,15,4020,106483.2,105381.46,150.90278551,15974377.99211745,1738249204494,1738252795926
30,16,1398,106049.93,105477.38,55.304195130000004,5851297.156256951,1738252803022,1738256399107
30,17,2032,105699.99,104923.05,61.02771132,6422717.839477752,1738256402139,1738259998060
30,18,2244,105649.0,104747.4,89.81897991,9452913.68100694,1738260001228,1738263593686
30,19,1777,105835.41,105281.15,69.60739582,7343880.155735908,1738263609133,1738267197096
30,20,2933,105864.92,104832.72,140.61453687,14805042.366126157,1738267205721,1738270799995
30,21,1239,105260.55,104831.73,44.26053272,4649859.105456045,1738270800854,1738274397787
30,22,419,105342.47,105017.8,22.18466799,2332572.9852952356,1738274406745,1738277998892
30,23,954,105285.61,104701.0,35.21313765,3700492.0446912143,1738278038616,1738281523871
31,0,1701,105071.71,104145.83,70.90174447,7419665.451611107,1738281600059,1738285172755
31,1,908,104914.74,104401.95,24.57282644,2571506.368110286,1738285200295,1738288792772
31,2,556,104906.01,104433.78,15.27886504,1600890.3726081825,1738288804342,1738290171186
